#_activities      200
#_zones           4
#_polutants       5
#_default_steps_per_day 5

#_times_from_zones_to_EDAR_in_hours
0	0.5
1	1.0
2	2.0
3	2.5

#_activities
1	0.62	0.88	0.81	0.71	0.55	60	140	60	140	0	0	140	0	0	0
2	0.75	0.9	0.83	0.79	0.39	100	300	300	100	0	0	300	0	0	0
2	0.73	0.99	0.91	0.86	0.67	200	200	200	200	0	200	0	0	0	0
2	0.64	0.95	0.9	0.65	0.59	0	200	200	200	0	0	200	0	0	0
3	0.61	0.93	0.66	0.94	0.55	50	150	100	0	0	0	0	0	0	0
3	0.54	1	0.76	0.73	0.52	50	50	50	50	0	0	0	50	0	0
1	0.31	0.47	0.87	0.77	0.45	0	40	60	50	50	0	40	0	0	0
1	0.38	0.59	0.86	0.84	0.64	0	200	250	250	0	0	200	0	250	0
2	0.47	0.58	0.83	0.77	0.45	0	0	50	50	0	0	0	50	0	0
2	0.48	0.68	0.99	0.75	0.39	50	0	100	0	50	50	0	0	0	50
2	0.28	0.54	0.81	0.82	0.57	0	100	100	0	0	0	100	0	0	0
2	0.46	0.69	0.92	0.89	0.41	0	20	40	40	0	0	40	0	0	0
3	0.47	0.67	0.99	0.86	0.33	30	100	70	100	0	0	100	0	0	0
3	0.42	0.69	0.83	0.42	0.49	0	20	25	25	30	0	0	25	0	0
1	0.24	0.9	0.92	0.44	0.45	200	200	200	0	0	200	200	200	0	0
1	0.26	0.94	1	0.32	0.42	100	200	100	0	0	100	200	100	0	0
2	0.26	0.99	0.98	0.37	0.49	0	100	100	0	0	0	0	100	0	0
2	0.3	0.95	0.76	0.33	0.49	100	100	100	0	100	0	50	0	0	0
3	0.26	0.93	0.9	0.54	0.64	0	0	200	0	0	0	0	0	0	0
3	0.25	1	0.64	0.49	0.51	0	120	0	80	0	0	0	0	0	0
1	0.66	0.93	0.76	0.11	0.27	0	0	100	0	0	0	0	100	0	0
2	0.61	0.83	0.82	0.1	0.22	0	100	200	100	100	0	100	0	0	0
3	0.54	0.94	0.91	0.23	0.34	200	200	150	150	0	200	0	150	0	0
3	0.62	0.86	0.69	0.13	0.29	200	200	0	200	0	200	0	0	0	0
2	0.11	0.52	0.37	0.4	0.54	0	0	100	0	0	0	0	0	0	0
2	0.1	0.51	0.28	0.4	0.6	25	25	25	25	0	0	0	0	0	0
3	0.1	0.5	0.32	0.37	0.59	0	50	100	50	100	0	50	100	50	100
